priority,status,suggested_mode,display_name,normalized_name,aftership_slug,seventeen_track_key,country_iso,url,notes
P0,module_scaffolded,dedicated_scraper,TNT,tnt,tnt,100004,NL,https://www.tnt.com/,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,UPS,ups,ups,100002,US,https://www.ups.com/,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,USPS,usps,usps,21051,US,https://www.usps.com/,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,YunExpress,yunexpress,yunexpress,190008,CN,https://www.yunexpress.com/,Already present in Trackified registry; needs fixture/live verification before verified.
P1,candidate,config_adapter,AliExpress,aliexpress,,190625,CN,https://www.aliexpress.com/,Present in 17TRACK catalog; research public tracking surface and tracking-number formats.
P1,candidate,config_adapter,Asendia,asendia,asendia-de,100029,FR,http://www.asendia.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P1,candidate,config_adapter,Bpost,bpost,bpost,2061,BE,https://track.bpost.cloud/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P1,candidate,config_adapter,Cainiao,cainiao,cainiao,190271,CN,https://track.cainiao.com/orderTrack,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P1,candidate,config_adapter,Chronopost,chronopost,,100273,FR,http://www.chronopost.fr/,Present in 17TRACK catalog; research public tracking surface and tracking-number formats.
P1,candidate,config_adapter,Colissimo,colissimo,colissimo,,,,Present in AfterShip catalog; research public tracking surface and tracking-number formats.
P1,candidate,config_adapter,Correios Brazil,correios brazil,,2151,BR,http://www.correios.com.br/,Present in 17TRACK catalog; research public tracking surface and tracking-number formats.
P1,candidate,config_adapter,Delhivery,delhivery,delhivery-webhook,100060,IN,https://www.delhivery.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P1,candidate,config_adapter,DHL eCommerce,dhl ecommerce,dhl-global-mail,,,,Present in AfterShip catalog; research public tracking surface and tracking-number formats.
P1,candidate,config_adapter,DPD,dpd,dpd,,,,Present in AfterShip catalog; research public tracking surface and tracking-number formats.
P1,candidate,config_adapter,Ekart,ekart,ekart,100056,IN,https://ekartlogistics.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P1,candidate,config_adapter,Hermes,hermes,,100018,DE,https://www.hermesworld.com/,Present in 17TRACK catalog; research public tracking surface and tracking-number formats.
P1,candidate,config_adapter,JNE,jne,jne,,,,Present in AfterShip catalog; research public tracking surface and tracking-number formats.
P1,candidate,config_adapter,Landmark Global,landmark global,landmark-global,100021,BE,https://landmarkglobal.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P1,candidate,config_adapter,Loomis Express,loomis express,loomis-express,100205,CA,https://www.loomisexpress.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P1,candidate,config_adapter,OSM Worldwide,osm worldwide,osm-worldwide-sftp,100247,US,https://www.osmworldwide.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P1,candidate,config_adapter,Pitney Bowes,pitney bowes,pitney-bowes,100036,US,https://www.pitneybowes.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P1,candidate,config_adapter,Poste Italiane,poste italiane,poste-italiane,9071,IT,http://www.poste.it/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P1,candidate,config_adapter,PostNL,postnl,,14041,NL,https://www.postnl.nl/,Present in 17TRACK catalog; research public tracking surface and tracking-number formats.
P1,candidate,config_adapter,Purolator,purolator,purolator,100042,CA,https://www.purolator.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P1,candidate,config_adapter,STO Express,sto express,sto,190324,CN,http://www.sto.cn/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P1,candidate,config_adapter,SUNYOU,sunyou,,190072,CN,http://www.sypost.com/,Present in 17TRACK catalog; research public tracking surface and tracking-number formats.
P1,candidate,config_adapter,Swiss Post,swiss post,swiss-post,19251,CH,https://www.post.ch/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P1,candidate,config_adapter,WishPost,wishpost,wishpost,190165,CN,https://www.wishpost.cn/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P1,candidate,config_adapter,Yanwen,yanwen,yanwen,190012,CN,https://www.yw56.com.cn/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P1,candidate,config_adapter,YTO Express,yto express,yto,190157,CN,http://www.yto.net.cn/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P1,candidate,config_adapter,Yunda Express,yunda express,yundaex,191197,CN,https://www.yunda56.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P1,candidate,config_adapter,ZTO Express,zto express,,190455,CN,https://www.zto.com,Present in 17TRACK catalog; research public tracking surface and tracking-number formats.
P1,module_scaffolded,config_adapter,Yodel,yodel,,100017,GB,https://www.yodel.net.cn/,Already present in Trackified registry; needs fixture/live verification before verified.
P2,candidate,config_adapter,Austrian Post,austrian post,,1161,AT,http://www.post.at/,Present in 17TRACK catalog; research public tracking surface and tracking-number formats.
P2,candidate,config_adapter,Bring,bring,bring,100423,NO,https://www.bring.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P2,candidate,config_adapter,CJ Logistics,cj logistics,,100689,KR,https://www.cjlogistics.com/en/main/,Present in 17TRACK catalog; research public tracking surface and tracking-number formats.
P2,candidate,config_adapter,DTDC,dtdc,,100069,IN,https://www.dtdc.com/,Present in 17TRACK catalog; research public tracking surface and tracking-number formats.
P2,candidate,config_adapter,Gati,gati,,100717,IN,https://www.gati.com/,Present in 17TRACK catalog; research public tracking surface and tracking-number formats.
P2,candidate,config_adapter,GLS Spain,gls spain,gls-spain,,,,Present in AfterShip catalog; research public tracking surface and tracking-number formats.
P2,candidate,config_adapter,HongKong Post,hongkong post,,8011,HK,http://www.hongkongpost.hk/,Present in 17TRACK catalog; research public tracking surface and tracking-number formats.
P2,candidate,config_adapter,India Post,india post,,9021,IN,https://app.indiapost.gov.in/,Present in 17TRACK catalog; research public tracking surface and tracking-number formats.
P2,candidate,config_adapter,InPost,inpost,inpost-uk,,,,Present in AfterShip catalog; research public tracking surface and tracking-number formats.
P2,candidate,config_adapter,Korea Post,korea post,kpost,,,,Present in AfterShip catalog; research public tracking surface and tracking-number formats.
P2,candidate,config_adapter,Lotte Global Logistics,lotte global logistics,lotte,,,,Present in AfterShip catalog; research public tracking surface and tracking-number formats.
P2,candidate,config_adapter,Mondial Relay,mondial relay,mondialrelay,100304,FR,https://www.mondialrelay.fr/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P2,candidate,config_adapter,MRW,mrw,mrw-spain,100175,ES,https://www.mrw.es/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P2,candidate,config_adapter,Nova Poshta,nova poshta,nova-poshta,100035,UA,http://novaposhta.ua/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P2,candidate,config_adapter,Packeta,packeta,packeta,100132,CZ,https://www.packeta.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P2,candidate,config_adapter,Poczta Polska,poczta polska,poczta-polska,,,,Present in AfterShip catalog; research public tracking surface and tracking-number formats.
P2,candidate,config_adapter,Sagawa,sagawa,sagawa,,,,Present in AfterShip catalog; research public tracking surface and tracking-number formats.
P2,candidate,config_adapter,Seur,seur,,100438,ES,https://www.seur.com/,Present in 17TRACK catalog; research public tracking surface and tracking-number formats.
P2,candidate,config_adapter,Shadowfax,shadowfax,shadowfax,100102,IN,https://shadowfax.in/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P2,candidate,config_adapter,Singapore Post,singapore post,singapore-post,19131,SG,http://www.singpost.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P2,candidate,config_adapter,Taiwan Post,taiwan post,taiwan-post,,,,Present in AfterShip catalog; research public tracking surface and tracking-number formats.
P2,candidate,config_adapter,Thailand Post,thailand post,,20041,TH,https://www.thailandpost.co.th/,Present in 17TRACK catalog; research public tracking surface and tracking-number formats.
P2,candidate,config_adapter,Vietnam Post,vietnam post,vnpost,22041,VN,http://www.vnpost.vn/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P2,candidate,config_adapter,XpressBees,xpressbees,xpressbees,100101,IN,http://www.xpressbees.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,2GO,2go,2go,100354,PH,http://supplychain.2go.com.ph/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,3JMS Logistics,3jms logistics,3jmslogistics,100746,US,https://3jmslogistics.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,3PE Express,3pe express,3pe-express,191376,CN,http://www.3peex.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,99minutos,99minutos,99minutos,100477,MX,https://tracking.99minutos.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,A Duie Pyle,a duie pyle,aduiepyle,100724,US,https://www.aduiepyle.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,ABF Freight,abf freight,abf,100340,US,https://www.abfs.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,AC Logistics,ac logistics,aclogistics-mx-webhook,190512,CN,http://www.sz-ac56.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,ACI Logistix,aci logistix,acilogistix,100325,US,https://acilogistix.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,aCommerce,acommerce,acommerce,100726,TH,https://www.acommerce.asia/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,ACS Worldwide Express,acs worldwide express,acsworldwide,191092,CN,http://www.acsnets.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Ader,ader,aderonline,101447,ES,https://www.aderonline.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,ADSOne,adsone,adsone,100353,AU,https://www.adsone.com.au/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Aeronet,aeronet,aeronet-api,100742,US,https://www.aeronet.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,AFL LOGISTICS,afl logistics,afllog-ftp,191029,CN,https://www.afllogistics.com.hk/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Agediss,agediss,agediss-sftp,101286,FR,https://www.agediss.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Agility,agility,agility,100251,KW,https://www.agility.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Airpak Express,airpak express,airpak-express,100088,SG,https://airpak-express.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Always Express,always express,always-express,100733,US,https://www.always-express.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Amazon Shipping,amazon shipping,amazon-uk-api,101392,US,https://www.amazon.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Amazon Shipping + Amazon MCF,amazon shipping amazon mcf,amazon,100308,US,https://track.amazon.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,An Post,an post,an-post,9051,IE,https://www.anpost.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Anjun,anjun,anjun,190047,CN,http://www.szanjun.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,ANL,anl,,190898,CN,https://www.anl-cn.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,ANSERX,anserx,anserx,190304,CN,http://anserx.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Anteraja,anteraja,anteraja,100589,ID,https://anteraja.id/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Aoyue,aoyue,aoyue,191089,CN,http://www.51aoyue.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,APC Overnight,apc overnight,apc-overnight,101065,GB,https://apc-overnight.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,APC Postal Logistics,apc postal logistics,apc,100121,US,https://www.apc-pli.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,APG Global,apg global,apg-global,101041,US,https://apg-global.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Aquiline,aquiline,aquiline,100090,SA,https://aquiline-tracking.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Arrow XL,arrow xl,arrowxl,101076,GB,https://askaxl.co.uk/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Asendia USA,asendia usa,asendia-usa,100016,US,http://www.asendiausa.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,ASIGNA,asigna,asigna,100434,ES,http://www.logisticacanaria.es/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,ATS Healthcare,ats healthcare,atshealthcare-reference,100699,CA,https://www.atshealthcare.ca/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Averitt Express,averitt express,averitt,100444,US,https://www.averittexpress.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Belpost,belpost,belpost,2051,BY,http://belpost.by/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Best Express,best express,800bestex,100391,TH,https://www.best-inc.co.th/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Better Trucks,better trucks,bettertrucks,100473,US,https://www.bettertrucks.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Big Smart,big smart,bigsmart,100617,MX,https://bigsmart.mx/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Blue Express,blue express,bluex,100250,CL,https://www.blue.cl/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Border Express,border express,borderexpress,100414,AU,https://www.borderexpress.com.au/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,BoxC,boxc,boxc,100614,US,https://boxc.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Bpost international,bpost international,bpost-international,2063,BE,http://www.bpost2.be/bpostinternational/track_trace/find.php,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Budbee,budbee,budbee-webhook,100609,SE,https://budbee.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,BUFFALO,buffalo,buffalo,190226,CN,http://www.buffaloex.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,C Chez Vous,c chez vous,cchezvous,101138,FR,https://www.cchezvous.fr/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Cambodia Post,cambodia post,cambodia-post,3021,KH,http://cambodiapost.post/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Cargo Partner,cargo partner,cargopartner-api,101351,AT,https://www.cargo-partner.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Cathedis,cathedis,cathedis-api,100851,MA,https://cathedis.ma/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,CBL Logistica,cbl logistica,cbl-logistica,100349,ES,http://www.cbl-logistica.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,CDEK,cdek,cdek,100030,RU,http://www.cdek.ru/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,CDL Last Mile,cdl last mile,cdldelivers,100263,US,https://cdldelivers.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,CEVA LOGISTICS,ceva logistics,ceva,100297,AU,https://www.cevalogistics.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Chazki,chazki,chazki,101126,PE,https://www.chazki.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Chit Chats,chit chats,chitchats,100244,CA,https://chitchats.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,chronodiali,chronodiali,chronodiali-webhook,101245,FR,https://www.chronodiali.ma/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Chukou1,chukou1,ec-firstclass,190111,CN,http://www.chukou1.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,City Express,city express,city56-webhook,101084,RS,https://www.cityexpress.rs/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,CJ Korea Express,cj korea express,cj-korea-thai,100116,KR,https://www.cjlogistics.com/ko/main,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,CN Express,cn express,cn-express,101273,ZA,https://www.cnexpressintl.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Collect+,collect,collectplus,100239,GB,https://www.collectplus.co.uk/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,ComOne Express,comone express,com1express,190428,CN,http://www.com1logistics.com,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Coordinadora,coordinadora,coordinadora,100493,,https://www.coordinadora.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Copa Airlines Courier,copa airlines courier,copa-courier,100255,PA,https://www.copacourier.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Cope Sensitive Freight,cope sensitive freight,cope,100940,AU,https://www.cope.com.au/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Coretrails,coretrails,coretrails,101238,US,https://coretrails.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Correo Argentino,correo argentino,correoar-webhook,1121,AR,https://www.correoargentino.com.ar/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Correo Uruguayo,correo uruguayo,correo-uy,21041,UY,http://www.correo.com.uy/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Correos Express,correos express,correosexpress,100048,ES,https://www.correosexpress.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,CRL Express,crl express,crlexpress,100745,AU,https://www.crlexpress.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,CTT Express,ctt express,tourline,100114,PT,https://www.cttexpress.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Cubyn,cubyn,cubyn,100231,FR,https://www.cubyn.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Cyprus Post,cyprus post,cyprus-post,3211,CY,https://www.cypruspost.post/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Czech Post,czech post,ceskaposta,3221,CZ,http://www.ceskaposta.cz/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,DAI Post,dai post,daiglobaltrack,100790,AU,https://www.daipost.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Danske Fragtmænd,danske fragtmænd,danske-fragt,100346,DK,https://www.fragt.dk/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Day & Ross,day ross,dayross,100406,CA,https://dayross.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Daylight Transport,daylight transport,dylt,100472,PL,https://www.dylt.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Dayton Freight,dayton freight,dayton-freight,100928,US,https://www.daytonfreight.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,DB Schenker,db schenker,dbschenker-se,100206,AT,https://www.dbschenker.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,DealerSend,dealersend,dealer-send,100291,HK,https://dealer-send.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Delnext,delnext,delnext,100212,PT,https://www.delnext.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Deltec Courier,deltec courier,deltec-courier,100334,GB,https://www.deltec-courier.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Dependable Supply Chain Services,dependable supply chain services,godependable,100690,US,https://www.godependable.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Designer Transport,designer transport,designertransport-webhook,100977,AU,https://designertransport.com.au/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Deutsche Post Mail,deutsche post mail,deutsch-post,7044,DE,http://www.deutschepost.de/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,DHL eCommerce Asia,dhl ecommerce asia,dhl-global-mail-asia,7048,DE,https://ecommerceportal.dhl.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,DHL Freight,dhl freight,dhl-freight,100245,DE,https://www.dhl.com/global-en/home/our-divisions/freight.html,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,DHL Parcel NL,dhl parcel nl,dhlparcel-nl,100047,NL,https://www.dhlparcel.nl/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,DHL Parcel Spain,dhl parcel spain,dhlparcel-es,100430,ES,https://www.dhl.com/es-en/parcel/home.html,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,DHL Supply Chain APAC,dhl supply chain apac,dhl-supplychain-apac,100842,DE,https://mysctrackandtrace.dhl.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Direct Freight Express,direct freight express,directfreight-au,101066,AU,https://www.directfreight.com.au/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,DNJ Express,dnj express,dnj-express,190413,CN,http://www.dnjexpress.com/en/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,DoorDash,doordash,doordash-webhook,101036,US,https://www.doordash.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,DP World,dp world,dp-world-api,101302,AE,https://www.logistics.dpworld.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,DPE Express,dpe express,dpe-express,190424,CN,http://www.dpe.net.cn/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,DPEX,dpex,dpex,100014,AU,http://www.dpex.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,Dragon Star Curier,dragon star curier,dragonstarcurier,101210,RO,https://dragonstarcurier.ro/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,DSV,dsv,dsv-slovakia-sftp,100186,DK,https://www.dsv.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,DTDC Australia,dtdc australia,dtdc-au,101296,AU,https://www.dtdcaustralia.com.au/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
P3,candidate,config_adapter,DX,dx,dx-sftp,100484,GB,https://my.dxdelivery.com/,Present in both competitor catalogs; prioritize metadata verification and public tracking surface research.
